year,neighborhood,housing_units
2010,Alamo Square,372560
2010,Anza Vista,372560
2010,Bayview,372560
2010,Buena Vista Park,372560
2010,Central Richmond,372560
2010,Central Sunset,372560
2010,Corona Heights,372560
2010,Cow Hollow,372560
2010,Croker Amazon,372560
2010,Diamond Heights,372560
2010,Downtown ,372560
2010,Eureka Valley/Dolores Heights,372560
2010,Excelsior,372560
2010,Financial District North,372560
2010,Financial District South,372560
2010,Forest Knolls,372560
2010,Glen Park,372560
2010,Golden Gate Heights,372560
2010,Haight Ashbury,372560
2010,Hayes Valley,372560
2010,Hunters Point,372560
2010,Ingleside ,372560
2010,Inner Mission,372560
2010,Inner Parkside,372560
2010,Inner Richmond,372560
2010,Inner Sunset,372560
2010,Jordan Park/Laurel Heights,372560
2010,Lake --The Presidio,372560
2010,Lone Mountain,372560
2010,Lower Pacific Heights,372560
2010,Marina,372560
2010,Miraloma Park,372560
2010,Mission Bay,372560
2010,Mission Dolores,372560
2010,Mission Terrace,372560
2010,Nob Hill,372560
2010,Noe Valley,372560
2010,Oceanview,372560
2010,Outer Parkside,372560
2010,Outer Richmond ,372560
2010,Outer Sunset,372560
2010,Pacific Heights,372560
2010,Park North,372560
2010,Parkside,372560
2010,Parnassus/Ashbury Heights,372560
2010,Portola,372560
2010,Potrero Hill,372560
2010,Presidio Heights,372560
2010,Russian Hill,372560
2010,South Beach,372560
2010,South of Market,372560
2010,Sunnyside,372560
2010,Telegraph Hill,372560
2010,Twin Peaks,372560
2010,Union Square District,372560
2010,Van Ness/ Civic Center,372560
2010,West Portal,372560
2010,Western Addition,372560
2010,Yerba Buena,372560
2011,Alamo Square,374507
2011,Bayview,374507
2011,Bernal Heights ,374507
2011,Buena Vista Park,374507
2011,Central Richmond,374507
2011,Central Sunset,374507
2011,Clarendon Heights,374507
2011,Corona Heights,374507
2011,Cow Hollow,374507
2011,Croker Amazon,374507
2011,Diamond Heights,374507
2011,Downtown ,374507
2011,Duboce Triangle,374507
2011,Eureka Valley/Dolores Heights,374507
2011,Financial District North,374507
2011,Financial District South,374507
2011,Glen Park,374507
2011,Golden Gate Heights,374507
2011,Haight Ashbury,374507
2011,Hayes Valley,374507
2011,Ingleside ,374507
2011,Ingleside Heights,374507
2011,Inner Mission,374507
2011,Inner Richmond,374507
2011,Inner Sunset,374507
2011,Jordan Park/Laurel Heights,374507
2011,Lake --The Presidio,374507
2011,Lone Mountain,374507
2011,Lower Pacific Heights,374507
2011,Marina,374507
2011,Miraloma Park,374507
2011,Mission Bay,374507
2011,Mission Dolores,374507
2011,Nob Hill,374507
2011,Noe Valley,374507
2011,North Beach,374507
2011,North Waterfront,374507
2011,Outer Mission,374507
2011,Outer Parkside,374507
2011,Outer Richmond ,374507
2011,Outer Sunset,374507
2011,Pacific Heights,374507
2011,Park North,374507
2011,Parkside,374507
2011,Parnassus/Ashbury Heights,374507
2011,Portola,374507
2011,Potrero Hill,374507
2011,Presidio Heights,374507
2011,Russian Hill,374507
2011,South Beach,374507
2011,South of Market,374507
2011,Sunnyside,374507
2011,Telegraph Hill,374507
2011,Twin Peaks,374507
2011,Union Square District,374507
2011,Van Ness/ Civic Center,374507
2011,Western Addition,374507
2011,Westwood Highlands,374507
2011,Yerba Buena,374507
2012,Alamo Square,376454
2012,Anza Vista,376454
2012,Bayview,376454
2012,Bernal Heights ,376454
2012,Buena Vista Park,376454
2012,Central Richmond,376454
2012,Central Sunset,376454
2012,Corona Heights,376454
2012,Cow Hollow,376454
2012,Croker Amazon,376454
2012,Diamond Heights,376454
2012,Downtown ,376454
2012,Duboce Triangle,376454
